Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginValidation,,,,2022-03-17 22:37:40,2022-03-17 22:37:50,10.222s,FAILED
,,,,,,,
Test Cases/Login/ValidateLoginFailed,,,,2022-03-17 22:37:41,2022-03-17 22:37:45,3.860s,PASSED
"response = sendRequest(findTestObject(""Login/FailedLogin""))",,,,2022-03-17 22:37:41,2022-03-17 22:37:44,2.838s,PASSED
"verifyResponseStatusCode(response, 400)",,,,2022-03-17 22:37:44,2022-03-17 22:37:44,0.071s,PASSED
"verifyElementPropertyValue(response, ""error"", ""Missing password"")",,,,2022-03-17 22:37:44,2022-03-17 22:37:44,0.161s,PASSED
,,,,,,,
Test Cases/Login/ValidateLoginSuccess,,,,2022-03-17 22:37:49,2022-03-17 22:37:50,1.294s,FAILED
"response = sendRequest(findTestObject(""Login/SuccessLogin""))",,,,2022-03-17 22:37:49,2022-03-17 22:37:50,1.231s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-03-17 22:37:50,2022-03-17 22:37:50,0.003s,PASSED
"verifyElementPropertyValue(response, ""id"", 4)",,,,2022-03-17 22:37:50,2022-03-17 22:37:50,0.047s,FAILED
